Action,Source,Destination,ID,Statut
MOVE,Licences/JD_Production_calendrier_représentations_prévisionnel.xlsx,1_Admin_legale/Licences_spectacle_vivant,1-YqOy4YpyFW28M-o4zmAjlSLZvzToQ4T,OK
MOVE,Licences/attestation-depot_dossier-30080339.pdf,1_Admin_legale/Licences_spectacle_vivant,1ZB82x-B6sjAC0G2gWJACe_mTHpztHu12,OK
MOVE,Licences/attestation-depot_dossier-30060507.pdf,1_Admin_legale/Licences_spectacle_vivant,1tF6GKy8zT9zEGb-xjx848NhvQb0rOGq1,OK
KEEP,Administration/Administration,(5 elem restants),1WX7a5X-XbF59mwnRJDOvgHWGT5J1V-l-,non-vide
KEEP,Administration,(2 elem restants),13DluZWg4v6ZVBZuUJ1YITPa6n0eTT75_,non-vide
RM_DIR,Decl-Pref/Partenaires,(corbeille),17OYe3l6IUhHJ7mhpEsWMPj8NeGcQOacN,OK (vide)
RM_DIR,Decl-Pref/Rescrit_fiscal,(corbeille),1Jf7PonhNtz4hRut9LgOkufBQkXX4HcXO,OK (vide)
RM_DIR,Decl-Pref/Prefecture,(corbeille),1QDW859kFUmaBLl-VyXi3le-9xtSu9ACb,OK (vide)
RM_DIR,Declaration Prefecture 04-2026,(corbeille),1PSDsdGvFRlLcba0vuHfuLvb31aP3QpYx,OK (vide)
RM_DIR,Statuts-AG/archive,(corbeille),13akJlmlv62jAkU5K8lPXaCF1YVKd5Gxw,OK (vide)
RM_DIR,Statuts - AG,(corbeille),1-hJJ53zzJwvMoCLLv10a4tW5WZGN1sxY,OK (vide)
RM_DIR,Adm2026/Licences d'entrepreneurs de spectacle,...,1_qY5KVbfjkkCALR4i7piyAoCW0fiUexb,"ERR: <HttpError 403 when requesting https://www.googleapis.com/drive/v3/files/1_qY5KVbfjkkCALR4i7piyAoCW0fiUexb?supportsAllDrives=true&alt=json returned ""The user does not have sufficient permissions for this file."". Details: ""[{'message': 'The user does not have sufficient permissions for this file.', 'domain': 'global', 'reason': 'insufficientFilePermissions'}]"">"
KEEP,Adm2026/Administratif,(3 elem restants),1BiiW8kYWvOkKhUVOrReBFhWPUQuA2msp,non-vide
RM_DIR,Comptabilité,(corbeille),14OZPqhqmoLw3QqiimdmflEgW6xq-Nh6b,OK (vide)
